year,industry_code,classification,Employment (in 1000s),Members (in 1000s),Covered (in 1000s),% Mem,% Cov
1995,10,SIC,6270.370953491669,1155.654312333331,1238.886440591665,18.43039783299906,19.757785460871155
1995,15,SIC,5658.439679941677,1071.580945933332,1151.1831222916662,18.937746208233452,20.34453289963377
1995,20,SIC,19626.692284616664,3469.3229486916744,3695.835301650005,17.67655445136274,18.830658004185395
1995,40,SIC,5097.418672366683,1881.0357520249956,1995.2608770083318,36.901731502302695,39.14257402133208
1995,48,SIC,1549.268458641664,406.58542245000035,451.8036057583338,26.243703612637802,29.162383267936466
1995,49,SIC,1494.1086996416652,482.501010466667,526.9487129083335,32.293568104006496,35.268432145178764
1995,50,SIC,4265.18094295,282.5418824250001,321.6565187083334,6.624382088455569,7.541450714769924
1995,52,SIC,18863.237087058274,1127.9535206333323,1245.5164073333328,5.979639207351112,6.602877340644035
1995,60,SIC,6972.768114341661,195.1934891333334,239.29092864166685,2.799368714583487,3.431792434764765
1995,72,SIC,3500.328783774995,194.47667285833316,214.48368204166653,5.5559544509015,6.1275295919588615
1995,75,SIC,5807.709314641682,209.4894138750002,262.30496331666683,3.607091927739243,4.516496076264971
1995,79,SIC,6866.372366858338,862.7421160083322,1010.545621425,12.564744087758731,14.717314579421338
1995,80,SIC,10278.852910149995,1059.115359058334,1255.564424549999,10.303828338787648,12.215024726253011
1995,82,SIC,9733.251016108376,3441.345229133334,4005.927642116672,35.356585620138254,41.157138919842154
1995,83,SIC,2405.868666608333,198.84104986666654,236.96674549166661,8.264833929899513,9.849529559970946
1995,89,SIC,4632.069879924994,134.52584549166667,177.10337994166662,2.904227461565088,3.823417705963762
1995,90,SIC,5978.477644300025,1908.6974474083333,2229.5629252916615,31.926145098629178,37.2931548454875
1995,07,SIC,1671.076563833332,45.289048766666674,59.98817426666666,2.7101719781633933,3.589792087626315
1996,10,SIC,6413.61867760834,1233.3800661666676,1295.6962450833357,19.230642296722873,20.20226505836648
1996,15,SIC,5873.975086933326,1157.5626124000019,1214.7602648416691,19.70663128917593,20.680378225367466
1996,20,SIC,19736.86829405002,3411.811962533334,3629.4218551166678,17.286491006082645,18.38904633219249
