year,industry_code,code_source,inspection_count,violation_count,accident_count,avg_penalty,avg_gravity,avg_injury_degree
2001,72,NAICS,518,1598.0,13.0,710.3041453831041,2.3066255778120186,1.3846153846153846
2001,75,NAICS,3620,10881.0,263.0,738.5045442600768,2.7553017553481665,1.6121673003802282
2001,79,NAICS,545,1537.0,57.0,1019.5161437236342,2.9623539982030547,1.5614035087719298
2001,80,NAICS,2372,6297.0,32.0,781.5335819637589,2.0039896737854965,1.78125
2001,82,NAICS,1115,2471.0,34.0,615.9878917378917,2.0404255319148934,1.8529411764705883
2001,83,NAICS,392,717.0,9.0,731.8416289592759,2.0448979591836736,1.7777777777777777
2001,89,NAICS,862,1550.0,41.0,760.9105758803712,2.992628623852645,1.3902439024390243
2001,90,NAICS,3272,7990.0,98.0,574.4922918012046,2.741073487242519,
2002,11,NAICS,2598,5375.0,285.0,858.1796512549633,3.152027947478215,1.6175438596491227
2002,21,NAICS,650,1089.0,102.0,1531.3532329626494,4.637213739638421,
2002,22,NAICS,1367,4656.0,149.0,1486.7005750017377,3.19379897554895,1.6778523489932886
2002,23,NAICS,54213,105345.0,1887.0,973.7546548057749,4.265979376430487,1.56809750927398
2002,31-33,NAICS,24113,102820.0,1743.0,940.9849063506017,2.6215503675053604,1.8582903040734366
2002,42,NAICS,2872,14307.0,331.0,826.407152077446,2.395278711742696,1.6827794561933536
2002,44-45,NAICS,4546,13580.0,390.0,767.5050926170186,2.413163837616103,1.6666666666666667
2002,48-49,NAICS,3607,8111.0,272.0,,,
2002,51,NAICS,346,4438.0,95.0,960.3809854739437,2.364003425310275,1.7052631578947368
2002,52,NAICS,1180,5901.0,96.0,779.1097285350653,2.482314982225795,
2002,53,NAICS,170,1479.0,26.0,931.6166011787819,1.9137614678899082,1.6538461538461537
2002,54,NAICS,4050,13579.0,304.0,791.0123255612157,,1.6546052631578947
2002,55,NAICS,6,1916.0,21.0,587.7503382949932,2.2656641604010024,1.7619047619047619
2002,56,NAICS,1334,1669.0,138.0,992.2975669099757,3.8498122653316647,1.4565217391304348
2002,61,NAICS,1333,3414.0,40.0,619.913429382953,2.869355231960601,1.775
2002,62,NAICS,3047,7770.0,44.0,798.5360882709813,2.284834188121827,1.7272727272727273
2002,71,NAICS,601,1767.0,69.0,807.7540020312556,3.0349527704293413,1.710144927536232
2002,72,NAICS,140,1964.0,14.0,863.4295779220779,2.19453207150368,1.7142857142857142
