Year,Total_Employed,Women_Percent,Black_Percent,Asian_Percent,Hispanic_Percent,Industry_Code,Classification_System
1995,136.0,3.6,2.6,0.0,7.8,10,SOC
1995,10088.0,10.610071371927042,10.859318001586042,0.0,13.87323552735924,15,SOC
1995,21673.854923232528,24.36635461260674,13.961819150218348,0.0,14.02372771421462,20,SOC
1995,7047.0,19.003788846317583,14.353923655456223,0.0,10.006485029090395,40,SOC
1995,1006.0,39.8,20.4,0.0,8.7,43,SOC
1995,185.0,87.4,25.6,0.0,7.4,48,SOC
1995,272.0,5.7,7.7,0.0,7.1,49,SOC
1995,1529.0,21.2,2.7,0.0,4.9,50,SOC
1995,6613.0,65.6,11.4,0.0,8.9,52,SOC
1995,10548.0,55.89121160409557,6.702957906712173,0.0,5.6098217671596515,60,SOC
1995,13872.0,65.0,16.8,0.0,13.2,72,SOC
1995,13842.0,62.890615517988735,10.476015026730241,0.0,8.07831960699321,75,SOC
1995,2054.0,49.4,6.2,0.0,4.8,79,SOC
1995,5412.0,72.2969327420547,9.03920916481892,0.0,4.276866223207687,80,SOC
1995,5800.0,70.44587931034484,8.981724137931035,0.0,4.320844827586207,82,SOC
1995,18489.0,43.39064849369896,7.87655362648061,0.0,4.912758937746768,83,SOC
1995,7083.0,28.907440350134124,6.2711704080192,0.0,4.121869264435974,89,SOC
1995,19167.0,54.85304429488183,17.1400532164658,0.0,12.346418323159597,90,SOC
1995,3642.0,19.9,4.2,0.0,18.1,07,SOC
1996,130.0,2.5,6.0,0.0,7.8,10,SOC
1996,10129.0,10.827850725639253,11.91177806298746,0.0,13.434968901174843,15,SOC
1996,21762.161965302177,24.505845939467743,14.26361519867318,0.0,13.958592482791952,20,SOC
1996,7224.0,18.838621262458474,14.626605758582501,0.0,10.087153931339978,40,SOC
1996,998.0,37.2,21.3,0.0,9.1,43,SOC
1996,177.0,88.8,21.8,0.0,8.0,48,SOC
1996,260.0,2.8,10.1,0.0,7.9,49,SOC
1996,1559.0,25.0,3.1000000000000005,0.0,5.0,50,SOC
1996,6728.0,65.3,11.4,0.0,9.2,52,SOC
1996,10900.0,55.320385321100915,7.027073394495414,0.0,6.082302752293579,60,SOC
1996,14186.0,63.9,17.2,0.0,13.8,72,SOC
1996,13849.0,62.466712398007076,10.232262257202686,0.0,8.70857101595783,75,SOC
1996,2188.0,49.4,6.0,0.0,6.0,79,SOC
1996,5377.0,73.42968197879858,8.852036451552909,0.0,4.388822763622838,80,SOC
1996,6090.0,69.86070607553367,9.493382594417078,0.0,4.684466338259442,82,SOC
1996,19078.0,44.49818639270363,7.612150120557711,0.0,4.911709822832583,83,SOC
1996,7174.0,29.364817396152777,5.871396710342904,0.0,3.973585168664622,89,SOC
1996,19364.0,54.63386696963437,17.267764924602353,0.0,13.056233216277628,90,SOC
1996,3566.0,19.0,3.9,0.0,19.2,07,SOC
1997,145.0,1.3,8.6,0.0,14.2,10,SOC
1997,10426.0,11.066717820832535,11.167063111452137,0.0,14.958852867830425,15,SOC
1997,22057.942053427105,24.8440072388965,14.2084254181632,0.0,14.924716041264007,20,SOC
1997,7342.0,18.803731953146283,15.093598474530102,0.0,11.106401525469899,40,SOC
1997,977.0,38.0,20.8,0.0,9.5,43,SOC
1997,185.0,81.5,21.6,0.0,9.7,48,SOC
1997,275.0,4.7,9.5,0.0,7.9,49,SOC
1997,1507.0,24.9,3.0,0.0,5.0,50,SOC
1997,6887.0,65.7,11.9,0.0,10.0,52,SOC
1997,11145.0,55.808129205921944,7.149690444145357,0.0,6.502449528936743,60,SOC
1997,14442.0,64.0,17.5,0.0,14.9,72,SOC
1997,13936.0,61.287234500574066,10.608826061997704,0.0,9.020357347876004,75,SOC
1997,2234.0,49.3,5.0,0.0,5.8,79,SOC
1997,5606.0,73.3674634320371,8.909846592936141,0.0,4.33423118087763,80,SOC
1997,6132.0,70.68871493803002,9.626614481409002,0.0,5.039220482713634,82,SOC
1997,19797.0,45.019730262160934,7.6060211143102485,0.0,5.502818608880133,83,SOC
1997,7563.0,29.279717043501257,6.0909824143858255,0.0,4.125188417294725,89,SOC
1997,19837.0,54.588284518828445,17.727539446488883,0.0,13.927519282149516,90,SOC
1997,3503.0,19.300000000000004,4.5,0.0,20.6,07,SOC
1998,125.0,1.4,7.0,0.0,11.8,10,SOC
1998,10696.0,10.729113687359762,11.15450635751683,0.0,16.09880329094989,15,SOC
1998,21897.23408340474,24.564724419119873,14.670771248044753,0.0,15.512984760392191,20,SOC
1998,7308.0,19.48851943076081,15.714477285166941,0.0,12.112917350848386,40,SOC
1998,984.0,38.0,21.1,0.0,10.3,43,SOC
1998,175.0,81.7,25.9,0.0,14.3,48,SOC
1998,259.0,2.6,11.3,0.0,7.0,49,SOC
1998,1584.0,26.0,2.8999999999999995,0.0,5.4,50,SOC
1998,6784.0,65.4,12.5,0.0,10.699999999999998,52,SOC
1998,11414.0,56.500543192570525,8.546521815314525,0.0,6.258200455580866,60,SOC
1998,14572.0,64.4,17.6,0.0,15.1,72,SOC
1998,13846.0,60.36465405171169,10.569731330348114,0.0,9.382067022966922,75,SOC
1998,2353.0,51.4,6.2,0.0,5.6,79,SOC
1998,5714.0,72.94457472873644,9.525638781939097,0.0,4.605565278263913,80,SOC
1998,6347.0,70.4907988025839,9.355380494721915,0.0,5.142996691350245,82,SOC
1998,20383.0,45.097654908502186,7.871574351175,0.0,5.432600696658981,83,SOC
1998,7804.0,29.492362890825216,6.077639671963096,0.0,4.369720656073809,89,SOC
