year,sic_code,naics_code,Employment (in 1000s),Members (in 1000s),Covered (in 1000s),% Mem,% Cov
1995,0.0,11.0,1671.076563833332,45.289048766666674,59.98817426666666,2.7101719781633933,3.589792087626315
1995,1.0,21.0,6270.370953491669,1155.654312333331,1238.886440591665,18.43039783299906,19.757785460871155
1995,2.0,31.0,19626.692284616664,3469.3229486916744,3695.835301650005,17.67655445136274,18.830658004185395
1995,4.0,22.0,1494.1086996416652,482.501010466667,526.9487129083335,32.293568104006496,35.268432145178764
1995,4.0,48.0,5097.418672366683,1881.0357520249956,1995.2608770083318,36.901731502302695,39.14257402133208
1995,4.0,51.0,1549.268458641664,406.58542245000035,451.8036057583338,26.243703612637802,29.162383267936466
1995,5.0,42.0,4265.18094295,282.5418824250001,321.6565187083334,6.624382088455569,7.541450714769924
1995,5.0,44.0,18863.237087058274,1127.9535206333323,1245.5164073333328,5.979639207351112,6.602877340644035
1995,6.0,52.0,6972.768114341661,195.1934891333334,239.29092864166685,2.799368714583487,3.431792434764765
1995,7.0,56.0,5807.709314641682,209.4894138750002,262.30496331666683,3.607091927739243,4.516496076264971
1995,7.0,71.0,6866.372366858338,862.7421160083322,1010.545621425,12.564744087758731,14.717314579421338
1995,7.0,81.0,3500.328783774995,194.47667285833316,214.48368204166653,5.5559544509015,6.1275295919588615
1995,9.0,92.0,5978.477644300025,1908.6974474083333,2229.5629252916615,31.926145098629178,37.2931548454875
1996,0.0,11.0,1778.0012532583335,37.035426166666674,44.29717034166667,2.082980880851249,2.491402650053731
1996,1.0,21.0,6413.61867760834,1233.3800661666676,1295.6962450833357,19.230642296722873,20.20226505836648
1996,2.0,31.0,19736.86829405002,3411.811962533334,3629.4218551166678,17.286491006082645,18.38904633219249
1996,4.0,22.0,1472.930031900002,466.3589253666669,499.1093792750003,31.661987688925624,33.88547782077439
1996,4.0,48.0,5129.630600616664,1854.5214569166692,1982.0403421916692,36.15311903148983,38.639046288311604
1996,4.0,51.0,1577.9761953416664,371.41408764999994,407.7976192833332,23.53736949558866,25.843078018996103
1996,5.0,42.0,4371.927217441663,272.6861147750001,294.0023681333333,6.23720618420013,6.724777278094207
